Instance,Vogel,Vogel-TOCM,Russel,Russel-TOCM
544,3366389,3291623,2967591,2958965
545,3278089,3334794,3040905,3062050
546,3172486,3105062,2959608,2961179
547,3248131,3177389,2868366,2858965
548,3334466,3242617,3068497,3051127
549,3194119,3160270,2986729,2967376
550,3225179,3129903,2892977,2899179
551,896789,894030,1011742,950070
552,927742,924429,943907,946965
553,864927,865934,929666,913038
554,910059,881930,919621,940320
555,874129,865192,1005785,1065112
556,1004758,994956,1054064,1047608
557,840895,823657,945428,880027
558,794917,785990,861434,865764
559,951635,951635,922471,920834
560,753878,737235,852963,863817
561,4873538,4873594,4825576,4824480
562,4958182,4958182,4929274,4929607
563,4912701,4912701,4861094,4861040
564,5109327,5109327,5064860,5064860
565,4946195,4946195,4905451,4906384
566,4847942,4847942,4799828,4799717
567,5001667,5001667,4953721,4952088
568,4922585,4922585,4879803,4879891
569,4962778,4962778,4934253,4933583
570,4784429,4784429,4732127,4731709
571,4756717,4756717,4530402,4532217
572,4756829,4757438,4499301,4504468
573,4920208,4920208,4708857,4712281
574,4694698,4694698,4473167,4473749
575,4887645,4887645,4637868,4636082
576,4751990,4751990,4521825,4513613
577,4787932,4787932,4555571,4554002
578,4889708,4889370,4699685,4698965
579,4785859,4785859,4587103,4586167
580,4751580,4751580,4574816,4569939
581,3836286,3430504,3006777,2963027
582,4050727,3453954,3006891,3007113
583,3746518,3271665,2970369,2961283
584,3948268,3444293,2917362,2919245
585,3997188,3587767,3015771,2995553
586,3753418,3372992,2935967,2896009
587,3743212,3267077,2874351,2858781
588,3936154,3521376,3006375,3004291
589,4185177,3373730,2999808,2970753
590,3959239,3300522,2908430,2894515
591,912230,890723,1026397,937188
592,896415,885815,930645,900469
593,816314,806678,916098,903334
594,949659,935419,1036033,1046716
595,935011,917605,989845,1024345
596,866368,863860,1047171,943742
597,939394,904209,982376,939050
598,967267,959263,1082345,1032119
599,903936,894940,1057815,1016178
600,926683,912346,1003938,970523
601,5125547,5125547,5041117,5040869
602,4948658,4948658,4869664,4869375
603,5081242,5081242,5024106,5023793
604,4990609,4990609,4926828,4925786
605,5120649,5120649,5038691,5038242
606,4861765,4861765,4778911,4778602
607,4842170,4842170,4772626,4772027
608,4999779,4999779,4922745,4923405
609,4894946,4894946,4827783,4827719
610,5004119,5004119,4928159,4928149
611,4860010,4860010,4456386,4448656
612,4893674,4893674,4529155,4525236
613,4868895,4868895,4566894,4568053
614,4904715,4904715,4600573,4596683
615,4768959,4768959,4423638,4422448
616,4987519,4987519,4593922,4590345
617,4921137,4921137,4715640,4715810
618,4981722,4981722,4670506,4667288
619,4829627,4829627,4571011,4562968
620,4975429,4975429,4592737,4593162
621,4164035,3530947,3004675,2991643
622,4573584,3477319,3019176,3014023
623,4249157,3558494,3052803,3048298
624,4371395,3404350,2973898,2950765
625,4290825,3474599,2979119,2968195
626,4199734,3346123,2902960,2898395
627,3984469,3482464,2914501,2936214
628,4406944,3548113,2993916,2995529
629,4073192,3473945,3022445,3010460
630,4401607,3300469,2955146,2918077
631,801512,788404,957312,833582
632,992346,965278,1060822,986805
633,899292,899358,1005304,995195
634,990521,972047,1015718,1031492
635,961440,945003,1019687,1038276
636,949384,907658,1029505,1008252
637,953312,943655,1031526,1051897
638,1054790,1049353,1213020,1177680
639,919856,912397,979008,945832
640,856649,850767,967564,933350
